country	source	carrier	mcc	mnc	apn	type	protocol	roaming_protocol	user	password	authtype	mmsc	mmsproxy	mmsport	proxy	port	carrier_id	mvno_type	mvno_match_data	carrier_enabled	user_visible	user_editable	network_type_bitmask	bearer_bitmask
AE	AOSP	Etisalat Data Package	424	02	etisalat.ae	default,ia,supl,mms					1	http://mms/servlets/mms	10.12.0.32	8080			451							
AE	AOSP	Etisalat IMS	424	02	ims	ims	IPV4V6										451							
AE	LineageOS	Etisalat MMS	424	02	etisalat	mms					1	http://mms/servlets/mms	10.12.0.32	8080										
AE	LineageOS	Etisalat UAE	424	02	etisalat.ae	default,supl					1													
AE	LineageOS	Etisalat UAE MMS	424	02	mms	mms			mms	mms	1	http://mms/servlets/mms	10.12.0.32	8080										
AE	AOSP	Etisalat Ut	424	02	ut	xcap	IPV4V6										451				false			
AE	LineageOS	Etisalat WAP	424	02	etisalat	default,supl									10.12.0.32	8080								
AE	LineageOS	du	424	03	du	default,supl,mms						http://mms.du.ae	10.19.18.4	9201										
AE	AOSP	du IMS	424	03	ims	ims,xcap	IPV4V6										1970							
AE	AOSP	du Internet	424	03	du	default,supl											1970							
AE	AOSP	du MMS	424	03	du	mms						http://mms.du.ae:8002	10.164.208.4	8002			1970							
AE	LineageOS	Du MMS	424	03	du	mms					1	http://mms.du.ae:8002	10.19.18.4	8080										
AE	LineageOS	Du WAP	424	03	du	default,supl									10.19.18.4	8080								
AF	AOSP	AWCC	412	01	default	default,ia,supl											452							
AF	LineageOS	AWCC	412	01	internet	default,supl																		
AF	LineageOS	AWCC MMS	412	01	mms1	mms						http://172.17.81.2:8002	172.17.81.2	8002										
AF	AOSP	Roshan	412	20	default	default,ia,supl											453							
AF	LineageOS	Roshan	412	20	internet	default,supl			gprs	roshan														
AF	LineageOS	Roshan MMS	412	20	mms	mms						http://mms.roshan.af	172.31.37.16	8080										
AF	AOSP	MTN	412	40	default	default,ia,supl											455							
AF	LineageOS	MTN Internet	412	40	internet.mtn.com.af	default,supl																		
AF	LineageOS	MTN MMS	412	40	mms.mtn.com.af	mms						http://192.168.4.136/servlets/mms	192.168.4.136	8080										
AF	AOSP	Etisalat	412	50	default	default,ia,supl											2221							
AF	LineageOS	Etisalat	412	50	etisalat.af.web	default,supl																		
AF	LineageOS	Etisalat MMS	412	50	etisalat.af.mms	mms									10.0.0.172	80								
AF	LineageOS	Etisalat WAP	412	50	etisalat.af.wap	default,supl									10.0.0.172	80								
AG	LineageOS	Imobile	344	03	net.apuapcs.ag	default,supl									208.83.80.131	9090								
AG	LineageOS	Imobile	344	03	ppnet.apuapcs.ag	default,supl									208.83.80.131	9090								
AG	AOSP	Antigua:Lime:Internet	344	920	internet	default,ia,dun					1						1325							
AG	AOSP	Antigua:Lime:Mms	344	920	multimedia	mms					1	http://mmsc	10.20.5.34	8799			1325							
AG	LineageOS	LIME Postpaid Internet	344	920	internet	default,supl										8799								
AG	LineageOS	LIME Postpaid MMS	344	920	multimedia	mms						http://mmsc			10.20.5.34	8799								
AG	LineageOS	LIME Prepaid Internet	344	920	ppinternet	default,supl										8799								
AG	LineageOS	LIME Prepaid MMS	344	920	ppmms	mms						http://mmsc			10.20.5.34	8799								
AI	AOSP	Anguilla:Lime:Internet	365	840	internet	default,ia,dun					1						2295							
AI	AOSP	Anguilla:Lime:Mms	365	840	multimedia	mms					1	http://mmsc	10.20.5.34	8799			2295							
AI	LineageOS	LIME Postpaid Internet	365	840	internet	default,supl										8799								
